"CategoryId"	"ParentCategoyrId"	"Position"
"newarrivals-bottoms"	"plus-newarrivals"	"1"
"newarrivals-jeans"	"plus-newarrivals"	"2"
"newarrivals-dresses"	"plus-newarrivals"	"3"
"newarrivals-jackets"	"plus-newarrivals"	"4"
"plus-tops"	"plus"	"1"
"plustops-tanks"	"plus-tops"	"0"
"plustops-graphictees"	"plus-tops"	"1"
"plustops-knittops"	"plus-tops"	"2"
"plustops-shirtsandblouses"	"plus-tops"	"3"
"plustops-sweaters"	"plus-tops"	"4"
"plustops-sweatshirts"	"plus-tops"	"5"
"plustops-wraps"	"plus-tops"	"6"
"plus-bottoms"	"plus"	"2"
"plusbottoms-leggings"	"plus-bottoms"	"0"
"plusbottoms-skirts"	"plus-bottoms"	"1"
"plusbottoms-pants"	"plus-bottoms"	"2"
"plusbottoms-shorts"	"plus-bottoms"	"3"
"plus-jeans"	"plus"	"3"
"plusjeans-skinny"	"plus-jeans"	"0"
"plusjeans-boot"	"plus-jeans"	"1"
"plusjeans-flare"	"plus-jeans"	"2"
"plusjeans-boyfriend"	"plus-jeans"	"3"
"plus-dresses"	"plus"	"4"
"plusdresses-day"	"plus-dresses"	"0"
"plusdresses-night"	"plus-dresses"	"1"
"plusdresses-highlow"	"plus-dresses"	"2"
"plusdresses-bodycon"	"plus-dresses"	"3"
"plusdresses-skater"	"plus-dresses"	"4"
"plusdresses-maxi"	"plus-dresses"	"5"
"plusdresses-rompersandjumpsuits"	"plus-dresses"	"6"
"plus-jackets"	"plus"	"5"
"plusjackets-denim"	"plus-jackets"	"0"
"plusjackets-fauxleather"	"plus-jackets"	"1"
"plusjackets-vests"	"plus-jackets"	"2"
"plusjackets-other"	"plus-jackets"	"3"
"plus-swim"	"plus"	"6"
"plus-intimates"	"plus"	"7"
"plusintimates-sleepwear"	"plus-intimates"	"0"
"plusintimates-panties"	"plus-intimates"	"1"
"plus-3for20-basics"	"plus"	"8"
"plus-accessories"	"plus"	"9"
"plusaccessories-shoesandboots"	"plus-accessories"	"0"
"plusaccessories-belts"	"plus-accessories"	"1"
"plus-sale"	"plus"	"10"
"newsale-50off"	"plus-sale"	"0"
